,Actual Uemployment rate,Predicted Unemployement Rate
1038,6.2,4.9
1039,6.4,6.7
1040,10.7,9.3
1041,6.9,6.5
1042,6.6,8.2
1043,4.8,6.7
1044,6.5,6.1
1045,8.5,6.5
1046,5.9,5.8
1047,8.6,10.5
1048,6.4,6.8
1049,6.9,7.0
1050,9.2,8.0
1051,5.3,6.0
1052,13.6,12.2
1053,10.7,12.6
1054,6.3,7.0
1055,9.9,9.8
1056,7.8,7.5
1057,10.3,10.6
1058,14.6,13.7
1059,12.2,10.4
1060,7.0,7.6
1061,8.7,8.6
1062,5.9,5.7
1063,6.2,6.3
1064,3.4,6.1
1065,4.9,5.4
1066,15.8,15.5
1067,7.1,6.9
1068,6.9,7.1
1069,10.3,10.0
1070,9.4,7.0
1071,6.3,5.6
1072,15.4,15.8
1073,5.8,5.8
1074,8.2,8.4
1075,5.4,10.8
1076,9.1,8.5
1077,5.8,6.6
1078,7.7,7.6
1079,7.9,8.5
1080,8.1,8.5
1081,9.6,8.1
1082,5.9,6.9
1083,6.8,7.6
1084,10.0,7.8
1085,3.5,3.4
1086,5.3,6.9
1087,12.5,8.6
1088,4.8,5.6
1089,13.1,10.8
1090,10.9,9.0
1091,5.4,7.5
1092,8.6,7.9
1093,5.9,7.2
1094,9.7,8.6
1095,4.5,6.5
1096,9.4,9.1
1097,4.8,5.1
1098,4.4,4.9
1099,5.1,5.9
1100,5.6,4.9
1101,7.6,8.0
1102,6.9,7.0
1103,10.4,6.7
1104,10.5,10.3
1105,7.3,7.0
1106,5.6,6.6
1107,5.7,5.4
1108,10.1,9.7
1109,6.1,6.4
1110,9.2,8.6
1111,10.5,9.8
1112,3.8,4.2
1113,8.9,8.7
1114,9.4,7.6
1115,6.3,5.5
1116,6.9,8.3
1117,7.7,8.7
1118,7.4,5.7
1119,7.4,9.2
1120,5.8,5.4
1121,7.0,7.2
1122,6.6,6.9
1123,9.4,9.1
1124,3.0,5.1
1125,5.6,7.5
1126,9.4,11.6
1127,9.2,10.7
1128,10.6,8.9
1129,6.9,7.1
1130,6.9,16.4
1131,6.1,6.6
1132,11.9,9.4
1133,8.8,10.2
1134,7.9,8.2
1135,11.2,8.9
1136,7.5,7.5
1137,6.2,7.3
1138,5.9,6.2
1139,9.1,8.0
1140,5.1,5.9
1141,7.0,6.3
1142,6.1,7.2
1143,8.8,10.5
1144,5.8,6.0
1145,12.3,14.1
1146,6.1,8.1
1147,13.6,11.0
1148,8.7,9.4
1149,7.0,7.7
1150,3.0,5.2
1151,8.3,7.6
1152,7.7,7.6
1153,4.7,8.4
1154,7.0,9.0
1155,9.5,9.2
1156,10.7,9.7
1157,7.3,6.3
1158,15.7,12.3
1159,8.2,8.9
1160,7.3,8.2
1161,5.5,7.2
1162,6.4,6.7
1163,8.5,9.7
1164,6.4,6.2
1165,8.9,9.4
1166,15.3,13.5
1167,6.1,5.9
1168,6.6,7.4
1169,7.3,7.4
1170,8.7,6.6
1171,12.3,12.3
1172,6.5,7.5
1173,5.7,6.2
1174,10.2,9.5
1175,4.5,7.0
1176,6.0,7.1
1177,5.2,5.8
1178,5.3,5.9
1179,4.0,4.2
1180,6.1,5.8
1181,5.7,5.6
1182,5.7,6.0
1183,4.7,4.3
1184,3.4,3.5
1185,6.3,7.0
1186,6.5,6.2
1187,7.8,7.8
1188,4.1,4.4
1189,8.8,7.4
1190,6.5,5.8
1191,7.9,7.5
1192,4.8,4.5
1193,9.0,7.8
1194,5.2,4.6
1195,5.5,5.6
1196,7.3,6.0
1197,6.5,7.5
1198,4.0,3.7
1199,5.8,5.6
1200,4.5,6.0
1201,8.3,8.3
1202,5.1,4.7
1203,4.8,5.1
1204,5.2,5.1
1205,4.2,3.5
1206,4.8,5.8
1207,5.4,4.8
1208,7.3,7.7
1209,3.7,4.4
1210,4.2,4.1
1211,10.2,7.8
1212,4.4,5.2
1213,6.8,6.7
1214,7.6,7.1
1215,7.1,7.2
1216,10.0,11.2
1217,5.5,5.0
1218,6.8,6.4
1219,6.9,6.9
1220,3.0,3.6
1221,6.0,6.0
1222,5.8,5.0
1223,8.0,7.8
1224,6.5,5.6
1225,4.8,4.6
1226,3.8,3.1
1227,5.5,5.1
1228,6.0,6.2
1229,7.1,8.1
1230,6.1,5.9
1231,9.3,8.9
1232,6.9,8.2
1233,3.6,4.8
1234,6.4,7.1
1235,6.1,7.3
1236,9.6,9.3
1237,6.0,7.0
1238,6.2,5.9
1239,7.4,7.6
1240,6.5,6.4
1241,7.3,7.5
1242,4.6,5.9
1243,7.4,7.9
1244,7.8,7.4
1245,6.2,5.9
1246,10.7,10.4
1247,9.0,9.8
1248,11.5,10.5
1249,4.3,5.0
1250,10.4,8.9
1251,6.5,7.1
1252,6.0,5.5
1253,5.8,6.0
1254,6.1,6.3
1255,10.8,10.4
1256,7.4,8.9
1257,6.7,7.7
1258,5.4,5.1
1259,7.4,7.2
1260,6.1,7.0
1261,6.8,6.3
1262,5.8,5.9
1263,8.1,7.7
1264,6.2,7.8
1265,9.6,9.0
1266,5.7,7.0
1267,8.4,9.7
1268,7.6,8.0
1269,6.6,7.3
1270,8.7,8.5
1271,5.4,6.2
1272,5.5,5.6
1273,11.6,10.8
1274,7.4,7.7
1275,6.3,5.2
1276,5.9,6.9
1277,4.6,4.6
1278,11.8,9.3
1279,10.5,10.2
1280,6.6,7.0
1281,8.0,8.6
1282,6.3,6.6
1283,7.6,7.9
1284,8.7,9.7
1285,5.9,6.5
1286,7.0,6.2
1287,7.0,8.1
1288,5.9,6.2
1289,7.0,8.8
1290,12.7,11.3
1291,8.9,9.2
1292,7.7,8.1
1293,5.3,5.7
